Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testSerialization2,org/jfree/chart/LegendItem:writeObject:(Ljava/io/ObjectOutputStream;)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/chart/plot/CategoryPlot:isRangeCrosshairLockedOnData:()Z,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testSerialization2,org/jfree/chart/LegendItem:readObject:(Ljava/io/ObjectInputStream;)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getEndValue:(II)Ljava/lang/Number;,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer:updateCrosshairValues:(Lorg/jfree/chart/plot/CategoryCrosshairState;Ljava/lang/Comparable;Ljava/lang/Comparable;DIDDLorg/jfree/chart/plot/PlotOrientation;)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getSubIntervalCount:(II)I,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/chart/plot/CategoryCrosshairState:updateCrosshairPoint:(Ljava/lang/Comparable;Ljava/lang/Comparable;DIDDLorg/jfree/chart/plot/PlotOrientation;)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testFindDomainBounds,org/jfree/chart/renderer/xy/XYBlockRenderer:findRangeBounds:(Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/data/Range;,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo,org/jfree/chart/renderer/category/BarRenderer:calculateSeriesWidth:(DLorg/jfree/chart/axis/CategoryAxis;II)D,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testGetRangeBounds2,org/jfree/data/time/TimeSeriesCollection:getRangeBounds:(Ljava/util/List;Lorg/jfree/data/Range;Z)Lorg/jfree/data/Range;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo,org/jfree/chart/renderer/category/BarRenderer:getShadowsVisible:()Z,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testSerialization,org/jfree/chart/axis/DateAxis$DefaultTimeline:equals:(Ljava/lang/Object;)Z,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testGetLegendItems,org/jfree/data/time/TimeSeriesCollection:getSeriesKey:(I)Ljava/lang/Comparable;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo,org/jfree/chart/renderer/category/BarRenderer:getBarPainter:()Lorg/jfree/chart/renderer/category/BarPainter;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
